image_path,sub_category
data_1000/receipt/receipt_0157.jpg,receipt
data_1000/scan/scan_0109.jpg,scan
data_1000/scan/scan_0238.jpg,scan
data_1000/scan/scan_0156.jpg,scan
data_1000/captured/captured_0146.jpg,captured
data_1000/captured/captured_0224.jpg,captured
data_1000/scan/scan_0020.jpg,scan
data_1000/captured/captured_0241.jpg,captured
data_1000/handwritten/handwritten_0122.jpg,handwritten
data_1000/handwritten/handwritten_0215.jpg,handwritten
data_1000/receipt/receipt_0212.jpg,receipt
data_1000/receipt/receipt_0079.jpg,receipt
data_1000/handwritten/handwritten_0070.jpg,handwritten
data_1000/handwritten/handwritten_0071.jpg,handwritten
data_1000/scan/scan_0170.jpg,scan
data_1000/receipt/receipt_0185.jpg,receipt
data_1000/receipt/receipt_0190.jpg,receipt
data_1000/handwritten/handwritten_0084.jpg,handwritten
data_1000/captured/captured_0217.jpg,captured
data_1000/scan/scan_0005.jpg,scan
data_1000/scan/scan_0159.jpg,scan
data_1000/captured/captured_0017.jpg,captured
data_1000/scan/scan_0002.jpg,scan
data_1000/scan/scan_0231.jpg,scan
data_1000/captured/captured_0074.jpg,captured
data_1000/captured/captured_0091.jpg,captured
data_1000/captured/captured_0029.jpg,captured
data_1000/handwritten/handwritten_0177.jpg,handwritten
data_1000/scan/scan_0167.jpg,scan
data_1000/captured/captured_0088.jpg,captured
data_1000/handwritten/handwritten_0125.jpg,handwritten
data_1000/receipt/receipt_0137.jpg,receipt
data_1000/handwritten/handwritten_0144.jpg,handwritten
data_1000/scan/scan_0140.jpg,scan
data_1000/scan/scan_0124.jpg,scan
data_1000/receipt/receipt_0177.jpg,receipt
data_1000/handwritten/handwritten_0106.jpg,handwritten
data_1000/captured/captured_0128.jpg,captured
data_1000/captured/captured_0021.jpg,captured
data_1000/scan/scan_0243.jpg,scan
data_1000/scan/scan_0135.jpg,scan
data_1000/captured/captured_0104.jpg,captured
data_1000/receipt/receipt_0221.jpg,receipt
data_1000/handwritten/handwritten_0040.jpg,handwritten
data_1000/handwritten/handwritten_0032.jpg,handwritten
data_1000/receipt/receipt_0095.jpg,receipt
data_1000/scan/scan_0142.jpg,scan
data_1000/receipt/receipt_0222.jpg,receipt
data_1000/scan/scan_0050.jpg,scan
data_1000/receipt/receipt_0247.jpg,receipt
data_1000/handwritten/handwritten_0055.jpg,handwritten
data_1000/receipt/receipt_0223.jpg,receipt
data_1000/handwritten/handwritten_0003.jpg,handwritten
data_1000/receipt/receipt_0230.jpg,receipt
data_1000/handwritten/handwritten_0049.jpg,handwritten
data_1000/receipt/receipt_0242.jpg,receipt
data_1000/captured/captured_0058.jpg,captured
data_1000/receipt/receipt_0083.jpg,receipt
data_1000/captured/captured_0232.jpg,captured
data_1000/scan/scan_0111.jpg,scan
data_1000/captured/captured_0016.jpg,captured
data_1000/scan/scan_0132.jpg,scan
data_1000/handwritten/handwritten_0008.jpg,handwritten
data_1000/receipt/receipt_0176.jpg,receipt
data_1000/scan/scan_0148.jpg,scan
data_1000/captured/captured_0055.jpg,captured
data_1000/captured/captured_0084.jpg,captured
data_1000/scan/scan_0239.jpg,scan
data_1000/handwritten/handwritten_0009.jpg,handwritten
data_1000/handwritten/handwritten_0095.jpg,handwritten
data_1000/receipt/receipt_0061.jpg,receipt
data_1000/scan/scan_0207.jpg,scan
data_1000/scan/scan_0227.jpg,scan
